id,user_id,date,steps,calories_burned,distance_km,active_minutes,sleep_hours,heart_rate_avg,workout_type,weather_conditions,location,mood
0,1,2023-01-02,21559,3045.06,0.32,841,11.5,126,Cycling,Rain,Park,Stressed
1,1,2023-01-03,1762,3606.03,9.77,567,5.4,76,Cycling,Clear,Gym,Neutral
2,1,2023-01-05,21471,2593.82,5.05,1297,8.2,175,Walking,Clear,Park,Happy
3,1,2023-01-06,4195,3364.94,6.76,932,3.1,122,Swimming,Rain,Office,Tired
4,1,2023-01-08,29530,1988.14,17.9,694,10.0,60,Cycling,Clear,Office,Neutral
5,1,2023-01-08,18617,2792.98,7.56,1123,6.9,61,Running,Snow,Home,Neutral
6,1,2023-01-09,8921,2361.44,11.98,32,6.0,174,Swimming,Rain,Other,Stressed
7,1,2023-01-09,10143,3906.6,16.91,581,5.3,131,Gym Workout,Snow,Park,Happy
8,1,2023-01-09,10122,2622.55,14.67,402,9.0,95,Gym Workout,Clear,Park,Tired
9,1,2023-01-09,10587,2503.75,13.07,1206,8.4,170,Swimming,Clear,Other,Happy
10,1,2023-01-10,24103,3859.28,18.32,505,4.1,76,Gym Workout,Fog,Office,Neutral
11,1,2023-01-11,8123,3679.12,6.16,1122,6.9,133,Running,Snow,Park,Neutral
12,1,2023-01-12,11104,2434.43,6.04,1106,10.4,142,Yoga,Fog,Park,Neutral
13,1,2023-01-13,376,3371.77,10.45,1087,11.5,123,Gym Workout,Fog,Park,Neutral
14,1,2023-01-14,26317,1602.87,9.33,232,11.2,170,,Rain,Home,Tired
15,1,2023-01-15,16104,2485.28,9.28,138,1.5,152,Cycling,Rain,Other,Neutral
16,1,2023-01-16,28209,2703.6,15.79,1344,4.6,103,Yoga,Fog,Park,Happy
17,1,2023-01-16,14097,2106.15,11.7,816,5.6,171,Running,Clear,Park,Tired
18,1,2023-01-16,9305,2633.17,10.06,1141,9.5,134,Running,Clear,Other,Tired
19,1,2023-01-19,9247,2248.47,9.82,648,5.6,127,Swimming,Clear,Park,Tired
20,1,2023-01-19,11690,1973.17,10.1,1189,8.6,119,Swimming,Snow,Office,Neutral
21,1,2023-01-20,17787,3106.41,7.43,286,4.7,159,Running,Rain,Gym,Stressed
22,1,2023-01-20,25318,3785.53,6.84,921,0.2,121,Walking,Clear,Other,Stressed
